2025-04-15 18:18:20,176 | INFO | app.services.interpreter | [Interpreter] 해석 결과: {'valid': True, 'type': {'input_type': 'smiles', 'model_type': 2, 'chemical_type': 0}}
2025-04-15 18:18:20,176 | INFO | app.router.model_router | 입력 타입: smiles, 모델 타입: 2
2025-04-15 18:18:20,176 | INFO | app.router.model_router | 결과 저장 완료: job_id=b49d4a4f-9ec8-4871-809e-735ddb2aed1f
2025-04-15 18:18:35,980 | INFO | app.router.model_router | /result 조회 요청: job_id=b49d4a4f-9ec8-4871-809e-735ddb2aed1
2025-04-15 18:18:35,980 | WARNING | app.router.model_router | 결과 없음
2025-04-15 18:18:47,166 | INFO | app.router.model_router | /result 조회 요청: job_id=b49d4a4f-9ec8-4871-809e-735ddb2aed1f
2025-04-15 18:18:47,166 | INFO | app.router.model_router | 결과 조회 성공
2025-04-15 18:37:51,959 | INFO | app.router.model_router | /predict 요청 수신
2025-04-15 18:37:51,959 | INFO | app.services.interpreter | [Interpreter] content 길이: 3 bytes
2025-04-15 18:37:51,960 | INFO | app.services.interpreter | [Interpreter] 해석 결과: {'valid': True, 'type': {'input_type': 'smiles', 'model_type': 2, 'chemical_type': 0}}
2025-04-15 18:37:51,960 | INFO | app.router.model_router | 입력 타입: smiles, 모델 타입: 2
2025-04-15 18:37:51,960 | INFO | app.router.model_router | 결과 저장 완료: job_id=35c309b8-e210-45bb-aef9-0fda6c4f6eb6
2025-04-15 18:38:01,649 | INFO | app.router.model_router | /result 조회 요청: job_id=35c309b8-e210-45bb-aef9-0fda6c4f6eb6
2025-04-15 18:38:01,650 | INFO | app.router.model_router | 결과 상태: done
2025-04-15 18:41:18,527 | INFO | app.router.model_router | /predict 요청 수신
2025-04-15 18:41:18,528 | INFO | app.services.interpreter | [Interpreter] content 길이: 3 bytes
2025-04-15 18:41:18,528 | INFO | app.services.interpreter | [Interpreter] 해석 결과: {'valid': True, 'type': {'input_type': 'smiles', 'model_type': 2, 'chemical_type': 0}}
2025-04-15 18:41:18,528 | INFO | app.router.model_router | 입력 타입: smiles, 모델 타입: 2
2025-04-15 18:41:18,529 | INFO | app.router.model_router | 결과 저장 완료: job_id=715c6060-66fa-4938-899e-2289612ecd81
2025-04-15 18:41:25,526 | INFO | app.router.model_router | /result 조회 요청: job_id=715c6060-66fa-4938-899e-2289612ecd81
2025-04-15 18:41:25,526 | INFO | app.router.model_router | 결과 상태: done
2025-04-15 18:41:29,516 | INFO | app.router.model_router | /predict 요청 수신
2025-04-15 18:41:29,516 | INFO | app.services.interpreter | [Interpreter] content 길이: 3 bytes
2025-04-15 18:41:29,516 | INFO | app.services.interpreter | [Interpreter] 해석 결과: {'valid': True, 'type': {'input_type': 'smiles', 'model_type': 2, 'chemical_type': 0}}
